NAME,the_geom,URL,LINE,
20 Ave,POINT (-73.99817432102677 40.604677331055306),http://www.mta.info/nyct/subway/index.html,D,
215 St,POINT (-73.91527899930841 40.869444332904905),http://www.mta.info/nyct/subway/index.html,1,
219 St,POINT (-73.8625097074803 40.88388830753444),http://www.mta.info/nyct/subway/index.html,2-5,
VAN ALSTON-21ST,POINT (-73.94959999937976 40.74412900001313),http://www.mta.info/nyct/subway/index.html,G,
21 ST,POINT (-73.94193761381545 40.75373960398463),http://www.mta.info/nyct/subway/index.html,F,
225 St,POINT (-73.86021461686795 40.88802859157574),http://www.mta.info/nyct/subway/index.html,2-5,
231 St,POINT (-73.90483400042638 40.87885633187432),http://www.mta.info/nyct/subway/index.html,1,
233 St,POINT (-73.85736239433544 40.89314357506239),http://www.mta.info/nyct/subway/index.html,2-5,
238 St,POINT (-73.90086999936261 40.884667334326366),http://www.mta.info/nyct/subway/index.html,1,
23 St,POINT (-73.98659900183978 40.7398643335507),http://www.mta.info/nyct/subway/index.html,6,
23 St,POINT (-73.99565700196479 40.74408133288406),http://www.mta.info/nyct/subway/index.html,1,
23 ST-6 AVE,POINT (-73.99276500454658 40.74295465088764),http://www.mta.info/nyct/subway/index.html,F-M,
23 ST-5 AVE,POINT (-73.98934400045437 40.74130300016866),http://www.mta.info/nyct/subway/index.html,N-R,
23 St,POINT (-73.99804100061175 40.745906332964005),http://www.mta.info/nyct/subway/index.html,C-E,
COURT SQ-23 ST,POINT (-73.94605470270504 40.74776845479483),http://www.mta.info/nyct/subway/index.html,EMG,
25 Ave,POINT (-73.9868290001644 40.59770400016762),http://www.mta.info/nyct/subway/index.html,D,
25 St,POINT (-73.99809099983285 40.66039700032125),http://www.mta.info/nyct/subway/index.html,R,
28 ST-BROADWAY,POINT (-73.98869800066268 40.74545433330924),http://www.mta.info/nyct/subway/index.html,N-R,
28 St,POINT (-73.99336500139277 40.74721533235655),http://www.mta.info/nyct/subway/index.html,1,
28 St,POINT (-73.98426400149621 40.74307033282793),http://www.mta.info/nyct/subway/index.html,6,
GRAND-30 AVE,POINT (-73.92147900005995 40.76677899973269),http://www.mta.info/nyct/subway/index.html,N-Q,
33 St,POINT (-73.98207600124924 40.7460813321576),http://www.mta.info/nyct/subway/index.html,6,
33 ST/RAWSON ST,POINT (-73.93099699873846 40.744587333592726),http://www.mta.info/nyct/subway/index.html,7,
34 ST-PENN STA,POINT (-73.99105699933416 40.75037333357704),http://www.mta.info/nyct/subway/index.html,1-2-3,
34 ST-PENN STA,POINT (-73.99339099930413 40.752287334131175),http://www.mta.info/nyct/subway/index.html,A-C-E,
WASHINGTON-36 A,POINT (-73.92986199833236 40.75644233343755),http://www.mta.info/nyct/subway/index.html,N-Q,
36 St,POINT (-73.92901818470385 40.751960377482355),http://www.mta.info/nyct/subway/index.html,M-R,
36 St,POINT (-74.00354899956925 40.655143999751665),http://www.mta.info/nyct/subway/index.html,D-N-R,
BEEBE-39 AVE,POINT (-73.9328513760691 40.752763394559445),http://www.mta.info/nyct/subway/index.html,N-Q,
3 Ave,POINT (-73.98575000098694 40.73269133261918),http://www.mta.info/nyct/subway/index.html,L,
138 ST-3 AVE,POINT (-73.92613800022275 40.81047633454132),http://www.mta.info/nyct/subway/index.html,6,
149 ST-3 AVE,POINT (-73.91779152703793 40.816029585709344),http://www.mta.info/nyct/subway/index.html,2-5,
40 ST-LOWERY ST,POINT (-73.9240159980613 40.743781334697424),http://www.mta.info/nyct/subway/index.html,7,
42 ST-BRYANT PK,POINT (-73.984590998399 40.75418433462967),http://www.mta.info/nyct/subway/index.html,BDFM7,
42 ST-PA BUS TE,POINT (-73.98973500043815 40.75730833180808),http://www.mta.info/nyct/subway/index.html,ACENQRS1237,
COURT SQ,POINT (-73.94526400065335 40.747023331863446),http://www.mta.info/nyct/subway/index.html,7,
45 St,POINT (-74.01000600035954 40.648938999878794),http://www.mta.info/nyct/subway/index.html,R,
46 St,POINT (-73.91352175005927 40.75631728599804),http://www.mta.info/nyct/subway/index.html,M-R,
46 ST-BLISS ST,POINT (-73.91843500055474 40.74313233412849),http://www.mta.info/nyct/subway/index.html,7,
47-50 ST-ROCK,POINT (-73.9813310021191 40.75864133466554),http://www.mta.info/nyct/subway/index.html,B-D-F-M,
49 ST-7 AVE,POINT (-73.98420956580891 40.75980230703365),http://www.mta.info/nyct/subway/index.html,N-Q-R,
4 AVE,POINT (-73.98977899967635 40.67027200058139),http://www.mta.info/nyct/subway/index.html,DFGMNR,
50 St,POINT (-73.98384899991842 40.76172833308103),http://www.mta.info/nyct/subway/index.html,1,
50 St,POINT (-73.99465878009656 40.636261224383965),http://www.mta.info/nyct/subway/index.html,D,
50 St,POINT (-73.98598399999051 40.762456332634045),http://www.mta.info/nyct/subway/index.html,C-E,
51 St,POINT (-73.97192000013308 40.757107333148234),http://www.mta.info/nyct/subway/index.html,6,
52 ST-LINCOLN,POINT (-73.91254899814022 40.7441493343501),http://www.mta.info/nyct/subway/index.html,7,
53 St,POINT (-74.01403400049048 40.645069000509004),http://www.mta.info/nyct/subway/index.html,R,
55 St,POINT (-73.99534882553118 40.631479094385625),http://www.mta.info/nyct/subway/index.html,D,
57 St,POINT (-73.97736800130777 40.76408533390238),http://www.mta.info/nyct/subway/index.html,F,
57 ST-7 AVE,POINT (-73.98072973313602 40.76456585850871),http://www.mta.info/nyct/subway/index.html,N-Q-R,
59 ST,POINT (-74.01788099968473 40.64136199944241),http://www.mta.info/nyct/subway/index.html,N-R,
59 ST-COLUMBUS,POINT (-73.98192900168259 40.76824733393756),http://www.mta.info/nyct/subway/index.html,1ABCD,
59th St - Columbus Circle,POINT (-73.98164872336676 40.768249864983254),http://www.mta.info/nyct/subway/index.html,A-B-C-D,
5 AVE-53 ST,POINT (-73.9752485046603 40.76008716596106),http://www.mta.info/nyct/subway/index.html,E-M,
5 AVE-59 ST,POINT (-73.9733470001843 40.76481133275182),http://www.mta.info/nyct/subway/index.html,N-Q-R,
5 AVE-BRYANT PK,POINT (-73.98196299871373 40.75382133359373),http://www.mta.info/nyct/subway/index.html,7BDFM,
62nd St,POINT (-73.99685725051668 40.626224796104694),http://www.mta.info/nyct/subway/index.html,D,
63 DR-REGO PARK,POINT (-73.86161820029058 40.72976430547176),http://www.mta.info/nyct/subway/index.html,MR,
65 St,POINT (-73.89878837766967 40.74971986271151),http://www.mta.info/nyct/subway/index.html,MR,
66 ST-LINCOLN,POINT (-73.98220900041213 40.773440334231445),http://www.mta.info/nyct/subway/index.html,1,
67 Ave,POINT (-73.85286048368066 40.72650580934677),http://www.mta.info/nyct/subway/index.html,MR,
68ST-HUNTER COL,POINT (-73.96387000148661 40.768141333903976),http://www.mta.info/nyct/subway/index.html,6,
69 ST-FISK AVE,POINT (-73.89640299838608 40.746325332824334),http://www.mta.info/nyct/subway/index.html,7,
6 AVE,POINT (-73.99775078872293 40.737741803112115),http://www.mta.info/nyct/subway/index.html,FLM123,
71 St,POINT (-73.9988409490545 40.61925904300817),http://www.mta.info/nyct/subway/index.html,D,
72 St,POINT (-73.98197000104193 40.77845333395168),http://www.mta.info/nyct/subway/index.html,1-2-3,
72 St,POINT (-73.97633657548654 40.77551973103465),http://www.mta.info/nyct/subway/index.html,BC,
74 ST-BROADWAY,POINT (-73.8912051283828 40.746867907409886),http://www.mta.info/nyct/subway/index.html,7EFMR,
75 Ave,POINT (-73.83692369317724 40.71804498706881),http://www.mta.info/nyct/subway/index.html,E-F,
ELDERTS LANE,POINT (-73.8672879987574 40.69129033462167),http://www.mta.info/nyct/subway/index.html,J-Z,
77 St,POINT (-73.9598739980726 40.77362033401498),http://www.mta.info/nyct/subway/index.html,6,
77 St,POINT (-74.02550999958477 40.62974200015178),http://www.mta.info/nyct/subway/index.html,R,
79 St,POINT (-73.97991700040643 40.78393433274081),http://www.mta.info/nyct/subway/index.html,1,
79 St,POINT (-74.000582873947 40.613159259344464),http://www.mta.info/nyct/subway/index.html,D,
7 AV-PARK SLOPE,POINT (-73.9802511788693 40.666245023690635),http://www.mta.info/nyct/subway/index.html,F-G,
7 Ave,POINT (-73.97285279146314 40.677102512887046),http://www.mta.info/nyct/subway/index.html,B-Q,
7 AVE-53 ST,POINT (-73.98169782381285 40.76297048549053),http://www.mta.info/nyct/subway/index.html,B-D-E,
HUDSON-80 ST,POINT (-73.85899200121291 40.679371334570604),http://www.mta.info/nyct/subway/index.html,A,
81 ST-MUSEUM,POINT (-73.97209794941429 40.78134641772443),http://www.mta.info/nyct/subway/index.html,BC,
82 ST-JACKSON H,POINT (-73.88369699986349 40.74765933320238),http://www.mta.info/nyct/subway/index.html,7,
FOREST PARKWAY,POINT (-73.86008699933834 40.692427333043625),http://www.mta.info/nyct/subway/index.html,J,
86 St,POINT (-73.97621799811347 40.78864433404891),http://www.mta.info/nyct/subway/index.html,1,
86 St,POINT (-73.96882849456208 40.785823379651546),http://www.mta.info/nyct/subway/index.html,BC,
86 St,POINT (-74.0283980002836 40.62268700032295),http://www.mta.info/nyct/subway/index.html,R,
86 St,POINT (-73.95558899978455 40.77949233177087),http://www.mta.info/nyct/subway/index.html,456,
BOYD-88 ST,POINT (-73.8514699989356 40.67984333439131),http://www.mta.info/nyct/subway/index.html,A,
8 Ave,POINT (-74.01151599735913 40.63497133283626),http://www.mta.info/nyct/subway/index.html,N,
8 Ave,POINT (-74.0025780004777 40.73977700012131),http://www.mta.info/nyct/subway/index.html,ACEL,
8 ST-B'WAY NYU,POINT (-73.9925079989093 40.730465331990395),http://www.mta.info/nyct/subway/index.html,N-R,
90 ST-ELMHURST,POINT (-73.87661299894202 40.748408334002924),http://www.mta.info/nyct/subway/index.html,7,
96 St,POINT (-73.95107000070685 40.785672333485294),http://www.mta.info/nyct/subway/index.html,6,
96 St,POINT (-73.97232299948297 40.79391933441861),http://www.mta.info/nyct/subway/index.html,1-2-3,
96 St,POINT (-73.96460245655115 40.79161913124813),http://www.mta.info/nyct/subway/index.html,BC,
9 Ave,POINT (-73.99444874408546 40.64648441084645),http://www.mta.info/nyct/subway/index.html,D,
9 St,POINT (-73.988301999704 40.67084700022307),http://www.mta.info/nyct/subway/index.html,DFGMNR,
Alabama Ave,POINT (-73.89852600099044 40.67699833360107),http://www.mta.info/nyct/subway/index.html,J,
Allerton Ave,POINT (-73.86723422776349 40.86548371157605),http://www.mta.info/nyct/subway/index.html,2-5,
AQUEDUCT-N CNDT,POINT (-73.83405799882622 40.66823433458028),http://www.mta.info/nyct/subway/index.html,A,
AQUEDUCT TRACK,POINT (-73.83591899879411 40.672097332305505),http://www.mta.info/nyct/subway/index.html,A,
Astor Place,POINT (-73.99106999895504 40.73005433376933),http://www.mta.info/nyct/subway/index.html,6,
DITMARS BL-31 S,POINT (-73.91203400018503 40.7750359996785),http://www.mta.info/nyct/subway/index.html,N-Q,
HOYT ST-ASTORIA,POINT (-73.91809500082121 40.770037332517354),http://www.mta.info/nyct/subway/index.html,N-Q,
Atlantic Av - Pacific St,POINT (-73.9788099993486 40.68366600047985),http://www.mta.info/nyct/subway/index.html,D-N-R,
BARCLAYS CENTER,POINT (-73.97754993550333 40.68442049853399),http://www.mta.info/nyct/subway/index.html,2345BDNQR,
Atlantic Ave,POINT (-73.97678343931106 40.68448865643635),http://www.mta.info/nyct/subway/index.html,B-Q,
Atlantic Ave,POINT (-73.90309699915753 40.675344999443105),http://www.mta.info/nyct/subway/index.html,L,
Ave H,POINT (-73.96151793874012 40.62920871052413),http://www.mta.info/nyct/subway/index.html,B-Q,
Ave I,POINT (-73.97606933193563 40.625017773484714),http://www.mta.info/nyct/subway/index.html,F,
Ave J,POINT (-73.96069316246778 40.625023152905705),http://www.mta.info/nyct/subway/index.html,B-Q,
Ave M,POINT (-73.95924310477643 40.61739807818342),http://www.mta.info/nyct/subway/index.html,B-Q,
Ave N,POINT (-73.97404850907516 40.61435704529457),http://www.mta.info/nyct/subway/index.html,F,
Ave P,POINT (-73.97300281528905 40.60884314257858),http://www.mta.info/nyct/subway/index.html,F,
Ave U,POINT (-73.97337641904097 40.595925159151875),http://www.mta.info/nyct/subway/index.html,F,
Ave U,POINT (-73.9558112232107 40.5993092845579),http://www.mta.info/nyct/subway/index.html,B-Q,
Ave U,POINT (-73.97908400087046 40.59723633364408),http://www.mta.info/nyct/subway/index.html,N,
Ave X,POINT (-73.97426599930228 40.589449999847005),http://www.mta.info/nyct/subway/index.html,F,
Bay 50 St,POINT (-73.98376500025735 40.588840999864985),http://www.mta.info/nyct/subway/index.html,D,
BAY PARKWAY,POINT (-73.99367619974002 40.601950795212716),http://www.mta.info/nyct/subway/index.html,D,
22 AVE-BAY PKY,POINT (-73.97525697755246 40.62073195620631),http://www.mta.info/nyct/subway/index.html,F,
BAY PKY-22 AVE,POINT (-73.98178001024034 40.61145612298434),http://www.mta.info/nyct/subway/index.html,N,
BAY RIDGE-95 ST,POINT (-74.0308760006303 40.6166220006113),http://www.mta.info/nyct/subway/index.html,R,
Bay Ridge Ave,POINT (-74.0233769992409 40.63496700028034),http://www.mta.info/nyct/subway/index.html,R,
