,race_am_indian,race_asian,race_black,num_females,nbhd_name,nbhd_id,race_hispanic,num_males,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_59,age_5_to_9,age_60_to_64,age_65_to_74,age_75_to_84,age_85_over,age_5_under,race_white,nta,employed,unemployed,commute_car_pool,commute_car_alone,commute_other,commute_pub_transp,commute_walk,inc_10k_to_14k,inc_15k_to_24k,inc_200k_over,inc_25k_to_34k,inc_35k_to_49k,inc_50k_to_74k,inc_75k_to_99k,inc_10k_less,inc_100k_to_149k,inc_150k_to_199k,not_labor_force,total_housing_units,vehic_avail_none,vehic_avail_1,vehic_avail_2,vehic_avail_3_plus,ed_9_to12,ed_bachelors,ed_graduate,ed_high_school,ed_less_9,ed_some_college,f_divorced,f_married_separated,f_married,f_separated,f_widowed,m_divorced,m_married_separated,m_married,m_separated,m_widowed
69,150.0,204.0,11281.0,22057.0,Melrose South-Mott Haven North                                 ,BX34,26460.0,17425.0,3104.0,2940.0,3714.0,6364.0,4754.0,4541.0,1592.0,3864.0,1626.0,1698.0,1174.0,333.0,3778.0,1089.0,Melrose South-Mott Haven North,13023.0,2765.0,305.0,1768.0,253.0,8215.0,1727.0,1920.0,2125.0,45.0,1851.0,1619.0,1425.0,545.0,3113.0,522.0,148.0,12200.0,14187.0,10422.0,2259.0,557.0,75.0,4416.0,1687.0,400.0,5825.0,5095.0,3644.0,1668.0,3751.0,8881.0,1249.0,1141.0,797.0,3488.0,7007.0,544.0,210.0
70,102.0,125.0,13200.0,20051.0,Morrisania-Melrose                                             ,BX35,23505.0,17875.0,3077.0,3299.0,3063.0,5651.0,5148.0,5022.0,2132.0,2949.0,1327.0,1836.0,902.0,312.0,3208.0,378.0,Morrisania-Melrose,13494.0,2812.0,366.0,2100.0,660.0,8806.0,713.0,1169.0,2236.0,29.0,1590.0,2065.0,1369.0,836.0,2770.0,494.0,125.0,11510.0,14102.0,9076.0,3069.0,432.0,106.0,3851.0,1827.0,739.0,6409.0,4241.0,3987.0,1609.0,3647.0,7774.0,1108.0,1331.0,856.0,4012.0,7534.0,578.0,243.0
71,10.0,772.0,16211.0,28950.0,University Heights-Morris Heights                              ,BX36,35605.0,25182.0,4320.0,4786.0,5348.0,7944.0,7136.0,7506.0,3065.0,3800.0,2482.0,2510.0,863.0,375.0,3997.0,783.0,University Heights-Morris Heights,20267.0,5324.0,1252.0,2882.0,303.0,12160.0,1510.0,2059.0,2865.0,25.0,2430.0,2537.0,2326.0,1128.0,3647.0,531.0,201.0,15608.0,19467.0,12385.0,4551.0,630.0,183.0,5201.0,2644.0,1029.0,9883.0,5336.0,5003.0,2665.0,5130.0,11937.0,2165.0,1209.0,1713.0,5922.0,10046.0,896.0,332.0
72,15.0,2666.0,2809.0,15385.0,Van Nest-Morris Park-Westchester Square                        ,BX37,16490.0,14383.0,2322.0,1849.0,2259.0,4868.0,3825.0,4005.0,1809.0,1968.0,1493.0,1744.0,899.0,566.0,2161.0,7192.0,Van Nest-Morris Park-Westchester Square,12673.0,2104.0,979.0,3706.0,207.0,6084.0,1070.0,600.0,1218.0,140.0,1092.0,1239.0,1779.0,996.0,969.0,1344.0,254.0,8134.0,10488.0,4258.0,3826.0,1166.0,381.0,2807.0,2674.0,1403.0,5359.0,2355.0,2982.0,1090.0,4187.0,4885.0,572.0,1271.0,888.0,4616.0,5211.0,269.0,328.0
73,89.0,399.0,13469.0,27653.0,Mott Haven-Port Morris                                         ,BX39,37821.0,25318.0,4294.0,4651.0,4867.0,7647.0,7130.0,6693.0,2397.0,4387.0,1607.0,2534.0,1682.0,386.0,4696.0,865.0,Mott Haven-Port Morris,17371.0,3241.0,396.0,2103.0,180.0,11913.0,1740.0,2482.0,3381.0,77.0,2075.0,2127.0,1830.0,761.0,4314.0,369.0,211.0,18097.0,19087.0,13492.0,3494.0,620.0,21.0,6191.0,2132.0,660.0,8514.0,7028.0,4055.0,1886.0,4533.0,11257.0,1626.0,1856.0,1013.0,5062.0,11305.0,788.0,268.0
74,79.0,235.0,6795.0,14718.0,Fordham South                                                  ,BX40,19247.0,12229.0,2498.0,2515.0,2622.0,3865.0,3750.0,3135.0,1072.0,2477.0,768.0,975.0,377.0,88.0,2805.0,449.0,Fordham South,9592.0,2425.0,354.0,999.0,131.0,5999.0,1075.0,1184.0,1410.0,45.0,994.0,1060.0,907.0,680.0,1885.0,222.0,64.0,6676.0,9006.0,6730.0,1621.0,91.0,9.0,2926.0,1157.0,613.0,3779.0,2791.0,2201.0,1058.0,2162.0,6335.0,706.0,572.0,570.0,2354.0,4999.0,313.0,98.0
75,118.0,989.0,13676.0,27070.0,Mount Hope                                                     ,BX41,36046.0,25365.0,3536.0,4652.0,4598.0,8209.0,6939.0,7983.0,2730.0,3745.0,2032.0,2315.0,1130.0,387.0,4179.0,731.0,Mount Hope,20295.0,4496.0,1191.0,2552.0,497.0,12540.0,1879.0,1900.0,3080.0,74.0,2176.0,2385.0,2257.0,1136.0,3102.0,556.0,158.0,15228.0,18014.0,12476.0,3296.0,962.0,90.0,4948.0,2827.0,1321.0,8228.0,6707.0,5467.0,2292.0,5303.0,10380.0,2183.0,1178.0,1521.0,6605.0,10237.0,906.0,370.0
76,148.0,4079.0,7951.0,21950.0,Norwood                                                        ,BX43,24139.0,19599.0,3066.0,2728.0,3497.0,7430.0,5913.0,4981.0,1601.0,3035.0,1570.0,2104.0,944.0,556.0,4124.0,4230.0,Norwood,16593.0,2953.0,607.0,2350.0,226.0,10725.0,1818.0,1323.0,2020.0,101.0,1709.0,1725.0,2814.0,1496.0,2141.0,812.0,161.0,11359.0,15178.0,9592.0,4047.0,456.0,207.0,3428.0,3245.0,1529.0,7253.0,3908.0,4369.0,2109.0,4583.0,8280.0,1130.0,953.0,1388.0,4817.0,7249.0,451.0,364.0
77,408.0,969.0,44260.0,34636.0,Williamsbridge-Olinville                                       ,BX44,14164.0,27709.0,4954.0,4976.0,4721.0,8144.0,8761.0,8573.0,3251.0,4141.0,2804.0,3933.0,2007.0,682.0,5398.0,1430.0,Williamsbridge-Olinville,24875.0,5087.0,1184.0,7199.0,244.0,13897.0,1125.0,1289.0,2832.0,278.0,2352.0,2699.0,3844.0,2109.0,2744.0,1877.0,456.0,16821.0,22446.0,10389.0,7571.0,2100.0,420.0,4688.0,4975.0,1917.0,11702.0,3625.0,8020.0,2945.0,7171.0,13305.0,1778.0,2273.0,1557.0,7055.0,10068.0,1253.0,447.0
78,0.0,4656.0,13871.0,15850.0,Parkchester                                                    ,BX46,10269.0,14585.0,1646.0,1490.0,2140.0,4694.0,4542.0,4642.0,2167.0,2014.0,1410.0,2170.0,1061.0,267.0,2192.0,1101.0,Parkchester,14118.0,1926.0,380.0,2077.0,274.0,10097.0,827.0,683.0,1145.0,76.0,1498.0,2036.0,2800.0,1723.0,1185.0,1017.0,284.0,8197.0,13276.0,7574.0,4134.0,610.0,129.0,1971.0,3583.0,1842.0,5370.0,1878.0,4073.0,1928.0,4234.0,5246.0,636.0,1208.0,1102.0,4574.0,4821.0,419.0,415.0
